ROWNUM;Name;AdmArea;District;Location;Longitude_WGS84;Latitude_WGS84;Material;global_id;
101;"Искусственная дорожная неровность по адресу улица 26-ти Бакинских Комиссаров, дом 10, корпус 6";"Западный административный округ";"район Тропарёво-Никулино";"улица 26-ти Бакинских Комиссаров, дом 10, корпус 6";"37.4933193294143";"55.6619137880291";"пластик";"1711298";
102;"Искусственная дорожная неровность по адресу Сивашская улица, дом 5";"Юго-Западный административный округ";"район Зюзино";"Сивашская улица, дом 5";"37.6060976686839";"55.6596030152041";"асфальт";"1711291";
103;"Искусственная дорожная неровность 2 по адресу Старокалужское шоссе, дом 62, строение 5";"Юго-Западный административный округ";"Обручевский район";"Старокалужское шоссе, дом 62, строение 5";"37.5362448994645";"55.6613251347399";"пластик";"1711295";
104;"Искусственная дорожная неровность по адресу улица Новаторов, дом 34";"Юго-Западный административный округ";"Обручевский район";"улица Новаторов, дом 34";"37.5259450499788";"55.6633083184632";"пластик";"1711300";
105;"Искусственная дорожная неровность по адресу улица Академика Анохина, дом 32";"Западный административный округ";"район Тропарёво-Никулино";"улица Академика Анохина, дом 30, корпус 3, строение 2";"37.4667649580375";"55.661858844133";"пластик";"1711296";
106;"Искусственная дорожная неровность по адресу улица Академика Миллионщикова, дом 22";"Южный административный округ";"район Нагатино-Садовники";"улица Академика Миллионщикова, дом 22";"37.6452391439902";"55.663269471337";"пластик";"1711299";
107;"Искусственная дорожная неровность по адресу Перекопская улица, дом 21";"Юго-Западный административный округ";"район Черёмушки";"Перекопская улица, дом 21";"37.5687168949277";"55.6611312461244";"пластик";"1711294";
108;"Искусственная дорожная неровность по адресу улица Академика Челомея, дом 6";"Юго-Западный административный округ";"Обручевский район";"улица Академика Челомея, дом 6";"37.5331162703492";"55.6618727753272";"пластик";"1711297";
109;"Искусственная дорожная неровность по адресу 1-й Дачно-Мещерский проезд, дом 13";"Западный административный округ";"район Солнцево";"1-й Дачно-Мещерский проезд, дом 13";"37.4206551046469";"55.6658862714093";"пластик";"1711303";
110;"Искусственная дорожная неровность по адресу Коломенский проезд, дом 16, строение 2";"Южный административный округ";"район Нагатино-Садовники";"Коломенский проезд, дом 16, строение 2";"37.6531248376252";"55.666492119968";"пластик";"1711305";
111;"Искусственная дорожная неровность по адресу Новочерёмушкинская улица, дом 69";"Юго-Западный административный округ";"район Черёмушки";"Новочерёмушкинская улица, дом 69";"37.5612269945153";"55.6634499852201";"пластик";"1711301";
112;"Искусственная дорожная неровность по адресу улица Новаторов, дом 16";"Юго-Западный административный округ";"Обручевский район";"улица Новаторов, дом 16";"37.5252238716889";"55.6678851391063";"пластик";"1711307";
113;"Искусственная дорожная неровность по адресу улица Кошкина, дом 10, корпус 1";"Южный административный округ";"район Москворечье-Сабурово";"улица Кошкина, дом 10, корпус 1";"37.6716173260954";"55.6403868567779";"пластик";"1711308";
114;"Искусственная дорожная неровность по адресу улица Верхние Поля, дом 9, корпус 1";"Юго-Восточный административный округ";"район Марьино";"улица Верхние Поля, дом 9, корпус 1";"37.7478032935263";"55.6649169327138";"пластик";"1711302";
115;"Искусственная дорожная неровность по адресу Алма-Атинская улица, дом 5";"Южный административный округ";"район Братеево";"Алма-Атинская улица, дом 5";"37.7702295782875";"55.6404555997847";"пластик";"1711309";
116;"Искусственная дорожная неровность по адресу улица Академика Бакулева, дом 5";"Юго-Западный административный округ";"район Тёплый Стан";"улица Академика Бакулева, дом 5";"37.4833569338617";"55.6409930047251";"пластик";"1711310";
117;"Искусственная дорожная неровность по адресу Криворожский проезд, дом 17А";"Южный административный округ";"Нагорный район";"Криворожский проезд, дом 17А";"37.6118877194235";"55.6667873666938";"пластик";"1711306";
118;"Искусственная дорожная неровность на УДС Старобалаклавская улица с привязкой к адресу Балаклавский проспект, дом 26, корпус 1";"Юго-Западный административный округ";"район Зюзино";"Балаклавский проспект, дом 26, корпус 1";"37.5952105806155";"55.6429118826673";"пластик";"1711313";
119;"Искусственная дорожная неровность по адресу улица Кошкина, дом 6";"Южный административный округ";"район Москворечье-Сабурово";"улица Кошкина, дом 6";"37.67217137103";"55.6429374062292";"пластик";"1711314";
120;"Искусственная дорожная неровность по адресу улица Авиаторов, дом 14";"Западный административный округ";"район Солнцево";"улица Авиаторов, дом 14";"37.3984150640003";"55.6446207981167";"пластик";"1711319";
121;"Искусственная дорожная неровность по адресу Волынская улица, дом 7";"Западный административный округ";"район Солнцево";"Волынская улица, дом 7";"37.4127559973681";"55.6434719330979";"пластик";"1711315";
122;"Искусственная дорожная неровность по адресу улица Борисовские Пруды, дом 38";"Южный административный округ";"район Братеево";"улица Борисовские Пруды, дом 38";"37.7656012585177";"55.6427695945632";"пластик";"1711312";
123;"Искусственная дорожная неровность по адресу улица Москворечье, дом 47, корпус 1";"Южный административный округ";"район Москворечье-Сабурово";"улица Москворечье, дом 47, корпус 1";"37.666793373918";"55.6443274763358";"асфальт";"1711318";
