ROWNUM;NAME;ADDRESS;X;Y;OPLATA;MESTO;VHOD;VNUTR;UNIVERS_USLUGA;GLOBALID;
2191;"Метро-переход";"Бабушкинская ст. м. корп. стр. север, рынок";"37,664729";"55,870463";"Карты+монеты";"Метро-переход";"Нет";"Нет";"Нет";"90838290";
2192;"Школа";"Москворечье ул. 39 корп. стр. школа 511";"37,663531";"55,64601";"Карты";"Школа";"Нет";"Да";"Нет";"90838291";
2193;"Больница";"Ленская ул. 15 корп. стр. больница";"37,665705";"55,864469";"Карты";"Больница";"Нет";"Да";"Нет";"90838292";
2194;"Ул.Кабина";"Воронцовская ул. 48/2 корп. стр.";"37,66419";"55,732737";"Карты+монеты";"Ул.Кабина";"Нет";"Нет";"Нет";"90838293";
2195;"Школа";"Малахитовая ул. 15 корп. стр. Школа 352";"37,664";"55,831587";"Карты";"Школа";"Нет";"Да";"Нет";"90838294";
2196;"Ул.Кабина";"Енисейская ул. 25 корп. стр.";"37,664169";"55,871005";"Карты";"Ул.Кабина";"Да";"Нет";"Да";"90838295";
2197;"Метро-переход";"Пролетарская ст. м. корп. стр. вых к Крутицкому Валу";"37,664532";"55,73148";"Карты+монеты";"Метро-переход";"Нет";"Нет";"Нет";"90838296";
2198;"Метро";"Пролетарская ст. м. корп. стр. вых на 1 Дубровскую";"37,667735";"55,732089";"Карты+монеты";"Метро";"Нет";"Нет";"Нет";"90838297";
2199;"Школа";"Радужная ул. 13 корп. стр.";"37,664469";"55,859343";"Карты";"Школа";"Нет";"Да";"Нет";"90838298";
2200;"Ул.Кабина";"Симоновский Вал ул. 11 корп. стр.";"37,664396";"55,724573";"Карты";"Ул.Кабина";"Да";"Нет";"Да";"90838299";
2201;"Ул.Кабина";"Бирюлевская ул. 19 корп. стр.";"37,663591";"55,594852";"Карты";"Ул.Кабина";"Да";"Нет";"Да";"90838300";
2202;"Ул.Кабина";"Андропова просп. 37 корп. стр.";"37,664577";"55,673284";"Карты";"Ул.Кабина";"Да";"Нет";"Да";"90838301";
2203;"Больница";"Велозаводская ул. 1/1 корп.10 стр.15 13-ая Гор.б-ца, 4 этаж";"37,665839";"55,720445";"Карты";"Больница";"Да";"Нет";"Да";"90838302";
2204;"Больница";"Велозаводская ул. 1/1 корп.1 стр. Больница 13, хирург.отд., вестибюль";"37,66858";"55,719401";"Карты";"Больница";"Нет";"Да";"Нет";"90838303";
2205;"Больница";"Велозаводская ул. 1/1 корп.3 стр. 13 Гор.б-ца,3 корп., 3 эт.";"37,666594";"55,719784";"Карты";"Больница";"Нет";"Да";"Нет";"90838304";
2206;"Школа";"Товарищеский пер. 21 корп. стр. школа 1270";"37,664829";"55,743761";"Карты";"Школа";"Нет";"Да";"Нет";"90838305";
2207;"Больница";"Коломенская ст. м. корп. стр. у выхода к магазину ""Гвоздь""";"37,662643";"55,676906";"Карты";"Больница";"Да";"Нет";"Да";"90838306";
2208;"Метро-улица";"Андропова просп. 25 корп. стр. Коломенская ст. м. юг";"37,664673";"55,677702";"Карты";"Метро-улица";"Да";"Нет";"Да";"90838307";
2209;"Ул.Кабина";"Велозаводская ул. 6 корп. стр. у под. 5";"37,665278";"55,711627";"Карты";"Ул.Кабина";"Да";"Нет";"Да";"90838308";
2210;"Парк";"Андропова просп. 39 корп. стр. музей-усадьба Коломенское";"37,665529";"55,671731";"Карты";"Парк";"Да";"Нет";"Да";"90838309";
2211;"Школа";"Загорьевский пр. 7 корп.3 стр. Школа 942";"37,667603";"55,575074";"Карты";"Школа";"Нет";"Да";"Нет";"90838310";
2212;"Школа";"Бирюлевская ул. 50 корп. стр. школа №915";"37,665403";"55,584612";"Карты";"Школа";"Нет";"Да";"Нет";"90838311";
2213;"Ул.Кабина";"Краснопрудная ул. 22/24 корп. стр.";"37,666116";"55,77925";"Карты";"Ул.Кабина";"Нет";"Нет";"Нет";"90838312";
2214;"Ул.Кабина";"Воронцовская ул. 50 корп. стр. м.Крестьянская застава ,кафе Пельмешка";"37,665078";"55,732144";"Карты";"Ул.Кабина";"Да";"Нет";"Да";"90838313";
